epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1493,1.39789,3.31657,1.47813,0.01067,0.53186,0.02464,0.00868,1.54066,3.52473,2.20517,2.858e-05,2.858e-05,2.858e-05
2,41.257,1.24489,3.2817,1.44153,0.01242,0.64134,0.04877,0.02303,1.25136,3.39308,1.75327,6.90921e-05,6.90921e-05,6.90921e-05
3,60.0117,0.99747,3.1592,1.26815,0.01551,0.77696,0.20469,0.094,0.96157,3.18455,1.26218,0.000106775,0.000106775,0.000106775
4,79.8036,0.90293,3.03707,1.23411,0.01809,0.83578,0.25262,0.15412,0.76503,3.01469,1.00468,0.000141628,0.000141628,0.000141628
5,100.407,0.87242,2.91439,1.18273,0.01916,0.90359,0.34102,0.20567,0.68183,2.95196,0.93761,0.000173652,0.000173652,0.000173652
6,120.458,0.75197,2.72778,1.12111,0.01928,0.91667,0.34883,0.22618,0.65632,2.93318,0.91322,0.000202847,0.000202847,0.000202847
7,142.322,0.73259,2.7316,1.09058,0.01887,0.91667,0.34387,0.23328,0.59522,2.90171,0.87882,0.000229212,0.000229212,0.000229212
8,158.994,0.74896,2.66321,1.12369,0.01913,0.91667,0.32738,0.23379,0.55161,2.88295,0.86637,0.000252747,0.000252747,0.000252747
9,179.354,0.83763,2.60548,1.17245,0.01899,0.91013,0.32699,0.24224,0.50794,2.83587,0.84246,0.000273453,0.000273453,0.000273453
10,199.504,0.77582,2.49837,1.08897,0.01924,0.90359,0.32378,0.24024,0.53017,2.82229,0.85764,0.00029133,0.00029133,0.00029133
11,216.377,0.72524,2.36188,1.07651,0.02027,0.98693,0.35137,0.2477,0.57966,2.79178,0.87987,0.000306378,0.000306378,0.000306378
12,229.004,0.73208,2.26862,1.13143,0.02043,0.98693,0.38698,0.27938,0.55486,2.76324,0.86224,0.000318596,0.000318596,0.000318596
13,244.956,0.64546,2.20549,1.03921,0.02015,0.90359,0.43897,0.32401,0.59299,2.69258,0.8866,0.000327984,0.000327984,0.000327984
14,257.645,0.76551,2.13048,1.10641,0.02038,0.91013,0.45085,0.32288,0.62847,2.6578,0.905,0.000334543,0.000334543,0.000334543
15,271.23,0.68553,2.00304,1.0273,0.02155,1,0.44721,0.3032,0.66195,2.60505,0.92385,0.000338273,0.000338273,0.000338273
16,286.714,0.70515,1.98089,1.09421,0.6946,0.48407,0.46883,0.31259,0.66211,2.56518,0.93859,0.000339173,0.000339173,0.000339173
17,299.092,0.69852,1.8886,1.08948,0.9297,0.2802,0.54006,0.34841,0.66329,2.47481,0.95785,0.000337244,0.000337244,0.000337244
18,314.97,0.73359,1.87117,1.07287,0.86457,0.38307,0.59132,0.43175,0.60444,2.36712,0.92832,0.000332485,0.000332485,0.000332485
19,328.262,0.68501,1.75415,1.06357,0.75243,0.40238,0.71506,0.53772,0.60562,2.28489,0.93635,0.000324897,0.000324897,0.000324897
20,341.265,0.72949,1.76392,1.11122,0.76599,0.46977,0.65889,0.52224,0.60005,2.21706,0.94112,0.00031448,0.00031448,0.00031448
21,358.576,0.64382,1.68252,1.03772,0.77261,0.4826,0.69095,0.53102,0.59764,2.14258,0.93664,0.000301233,0.000301233,0.000301233
22,372.673,0.7325,1.79567,1.08091,0.82054,0.57271,0.79367,0.57709,0.57692,2.0366,0.92938,0.000285157,0.000285157,0.000285157
23,390.29,0.54845,1.5806,1.01386,0.84317,0.60131,0.87958,0.66844,0.55866,1.97811,0.91804,0.000266251,0.000266251,0.000266251
24,405.248,0.72124,1.57304,1.09387,0.81164,0.60784,0.87259,0.68473,0.57304,1.92953,0.91922,0.000244516,0.000244516,0.000244516
25,423.264,0.49844,1.42103,0.97097,0.82645,0.60784,0.85052,0.67013,0.60106,1.92078,0.94067,0.000219952,0.000219952,0.000219952
26,438.702,0.57554,1.42595,1.03252,0.8695,0.60784,0.86456,0.66172,0.59799,1.89535,0.94517,0.000192558,0.000192558,0.000192558
27,456.294,0.55924,1.4442,1.01654,0.87892,0.61403,0.8253,0.60672,0.61203,1.8771,0.95403,0.000162334,0.000162334,0.000162334
28,470.891,0.55402,1.32742,0.98584,0.85051,0.60784,0.81614,0.6304,0.58033,1.79388,0.94722,0.000129282,0.000129282,0.000129282
29,487.705,0.5387,1.26784,0.94865,0.85051,0.60784,0.81614,0.6304,0.58033,1.79388,0.94722,9.33994e-05,9.33994e-05,9.33994e-05
30,504.523,0.51046,1.24135,0.97871,0.82238,0.69771,0.86677,0.68408,0.5631,1.72538,0.94441,5.46878e-05,5.46878e-05,5.46878e-05
